FID,dissolve,scalerank,featurecla,name,name_alt,rivernum,note
22,1014River,9,River,Harricana, ,1014, 
711,480River,7,River,Haw, ,480, 
1394,2008River,6,River,Hawea, ,2008, 
1330,961River,8,River,Hayes, ,961, 
1307,93River,3,River,Heilong Jiang (Amur), ,93, 
463,305River,6,River,Helmand, ,305, 
95,1075River,9,River,Herlen (Kerulen), ,1075, 
868,619River,7,River,Hindiyah Channel, ,619, 
284,185River,5,River,Holston, ,185, 
464,306River,6,River,Hong (Red), ,306, 
223,147River,4,River,Hongshui, ,147, 
685,458River,7,River,Huai, ,458, 
754,518River,7,River,Huallaga, ,518, 
103,1081River,9,River,Huan, ,1081, 
956,66River,3,River,Huang, ,66, 
1328,95River,3,River,Huang (Yellow), ,95, 
631,419River,7,River,Hudi, ,419, 
486,326River,6,River,Hudson, ,326, 
928,657River,8,River,Humboldt, ,657, 
1417,2009River,9,River,Hurunui, ,2009, 
1444,2010River,10,River,Hutt, ,2010, 
84,1066River,9,River,Ialomita, ,1066, 
1310,943River,8,River,Ibicu?, ,943, 
411,26River,2,River,Ideriyn, ,26, 
872,621River,7,River,Igan, ,621, 
60,1047River,9,River,Igombe, ,1047, 
182,1147River,4,River,IJssel, ,1147,Version 1.3
636,421River,7,River,Ile, ,421, 
891,639River,8,River,Iliamna Lake Outlet, ,639, 
1265,903River,8,River,Illinois, ,903, 
1437,2011River,10,River,Inangahua, ,2011, 
196,123River,4,River,Indai?, ,123, 
1375,995River,9,River,Indals?lven, ,995,Version 1.2 edit in N. America and Europe
287,188River,5,River,Indigirka, ,188, 
321,218River,6,River,Indragi, ,218, 
129,1103River,9,River,Indravati, ,1103, 
813,56River,3,River,Indus, ,56, 
686,459River,7,River,Ingoda, ,459, 
1189,836River,8,River,Inkisi, ,836, 
1051,718River,8,River,Inn, ,718, 
747,511River,7,River,Iriri, ,511, 
0,0River,1,River,Irrawaddy Delta, ,0, 
676,44River,2,River,Irtysh, ,44, 
317,214River,6,River,Ishikari, ,214, 
862,613River,7,River,Ishim, ,613, 
316,210River,6,River,Ismailiya Canal, ,210, 
1210,855River,8,River,Itiquira, ,855, 
707,477River,7,River,Ituri, ,477, 
1179,827River,8,River,Ituxi, ,827, 
154,1124River,9,River,Iva?, ,1124, 
662,437River,7,River,Ivanhoe, ,437, 
817,573River,7,River,Ivindo, ,573, 
1211,856River,8,River,Ivinheima, ,856, 
743,508River,7,River,Jamanxim, ,508, 
1134,789River,8,River,James, ,789, 
1093,753River,8,River,James, ,753, 
306,204River,5,River,Japur?, ,204, 
658,433River,7,River,Jari, ,433, 
897,642River,8,River,Javari, ,642, 
155,1125River,9,River,Jejui Guazu, ,1125, 
435,284River,6,River,Jequitinhonha, ,284, 
539,371River,7,River,Jhelum, ,371, 
777,538River,7,River,Jialing, ,538, 
1240,882River,8,River,Jing, ,882, 
241,15River,1,River,Jinsha (Yangtze), ,15, 
1206,851River,8,River,Jiparan?, ,851, 
107,1085River,9,River,Jiulong, ,1085, 
1102,761River,8,River,John Day, ,761, 
339,229River,6,River,Jordan, ,229, 
523,358River,6,River,Jubba, ,358, 
660,435River,7,River,Juru?, ,435, 
290,190River,5,River,Juruena, ,190, 
36,1026River,9,River,Juta?, ,1026, 
689,461River,7,River,K?nes, ,461, 
543,374River,7,River,Kabalebo, ,374, 
739,504River,7,River,Kabompo, ,504, 
457,300River,6,River,Kad??, ,300, 
545,376River,7,River,Kaduna, ,376, 
434,283River,6,River,Kafue, ,283, 
1023,6River,1,River,Kagera, ,6, 
105,1083River,9,River,Kaladan, ,1083, 
1358,985River,9,River,Kalix, ,985, 
1020,699River,6,River,Kama, ,699, 
544,375River,7,River,Kamanga, ,375, 
478,319River,6,River,Kamchatka, ,319, 
1276,912River,8,River,Kanawha, ,912, 
61,1048River,9,River,Kangen, ,1048, 
1049,716River,8,River,Kankakee, ,716, 
1304,937River,8,River,Kansas, ,937, 
