reviewer,title,paper_id,inclusion_IAM,extent,location,biome,concerns,notes1,notes2,projected,observed,new_data,huc6,discipline,topic
CMC,Rapid Increases and Time-Lagged Declines in Amphibian Occupancy after Wildﬁre,24,impacts,1500 - 25000 km2,"48.5838247,-114.0040341","forest: temperate, freshwater: wetlands",NA,NA,NA,no,no,yes,0102,biology,"temperature, precipitation, aquatic habitat, species range shifts, wildfire, terrestrial wildlife"
AM,"Interactive effects of wildfire, forest management, and isolation on amphibian and parasite abundance.",25,impacts,1500 - 25000 km2,"48.6675611,-114.1138973",forest: temperate,"I think for the purposes of this form, this paper is essentially indistinguishable from another paper by the same author - but they are different papers.",NA,NA,no,no,yes,0102,ecology,"aquatic habitat, terrestrial wildlife, wildfire, forest ecology"
MF,"Interactive effects of wildfire, forest management, and isolation on amphibian and parasite abundance.",25,impacts,1500 - 25000 km2,"48.6675611,-114.1138973",forest: temperate,Amphibians are terrestrial and aquatic - maybe need new category?,NA,NA,no,no,yes,0102,ecology,"aquatic habitat, terrestrial wildlife, wildfire, forest ecology"
AM,"Modeling cold tolerance in the mountain pine beetle, Dendroctonus ponderosae",27,impacts,25000 - 40000 km2,Idaho,forest: temperate,NA,NA,NA,no,no,yes,"0402, 0501",ecology,"temperature, pests and disease, timber production/silviculture, forest ecology"
SH,"Modeling cold tolerance in the mountain pine beetle, Dendroctonus ponderosae",27,impacts,25000 - 40000 km2,Idaho,forest: temperate,I'm not sure about the extent of this paper or even whether or not to include,NA,NA,no,no,yes,"0402, 0501",ecology,"temperature, pests and disease, timber production/silviculture, forest ecology"
AM,Application of a land class hydrological model to climatic change.,28,impacts,40000 km2 - PNW,"50.1547841,-116.0882144",forest: temperate,NA,NA,NA,yes,no,no,kooteney,hydrology,"temperature, precipitation, snow, streamflow/stream forecasting, water quantity, soils, carbon cycle, forest ecology"
PE,Application of a land class hydrological model to climatic change.,28,impacts,40000 km2 - PNW,"50.1547841,-116.0882144",forest: temperate,Also addresses changes in evapotranspiration of vegetation,NA,NA,yes,no,no,kooteney,hydrology,"temperature, precipitation, snow, streamflow/stream forecasting, water quantity, soils, carbon cycle, forest ecology"
AM,"Relative impact of anthropogenic modifications versus climate change on the natural flow regimes of rivers in the Northern Rocky Mountains, United States.",29,impacts,40000 km2 - PNW,"46.44435,-114.2282207",n/a (not biome specific or all biomes - see codebook),NA,NA,"""direct basin anthropogenic modifications such as damming, irrigation, and urbanization have caused a decrease in the difference between the minimum and maximum annual discharges and a decrease in the daily variations of flows across the Northern Rocky Mountains. In general, direct anthropogenic modifications of the river basins have altered the flow regimes to a much greater extent than climate change.""",no,yes,no,"0101, 0102, 0103, 0501, 0602, 0603",hydrology,"temperature, streamflow/stream forecasting, water quantity, agriculture, alternative energy, other"
DH,"Relative impact of anthropogenic modifications versus climate change on the natural flow regimes of rivers in the Northern Rocky Mountains, United States.",29,impacts,40000 km2 - PNW,"Idaho, Wyoming, Montana",n/a (not biome specific or all biomes - see codebook),NA,NA,NA,no,yes,no,"0101, 0102, 0103, 0501, 0602, 0603",hydrology,"temperature, streamflow/stream forecasting, water quantity, agriculture, alternative energy, other"
AM,"Genetic architecture and phenotypic plasticity of thermally-regulated traits in an eruptive species, Dendroctonus ponderosae",30,impacts,western us,"One point in CRB stanley, ID: 44.14157, -114.89354",forest: temperate,Climate change connection is a little tenuous.,NA,NA,no,no,yes,0602,ecology,"temperature, precipitation, pests and disease, species range shifts, timber production/silviculture, forest ecology"
CMC,"Genetic architecture and phenotypic plasticity of thermally-regulated traits in an eruptive species, Dendroctonus ponderosae",30,impacts,western us,"One point in CRB stanley, ID: 44.14157, -114.89354",forest: temperate,NA,NA,NA,no,no,yes,0602,ecology,"temperature, precipitation, pests and disease, species range shifts, timber production/silviculture, forest ecology"
AM,"Climate change impacts on water management and irrigated agriculture in the Yakima River Basin, Washington, USA",31,impacts,25000 - 40000 km2,"46.268226,-119.314407","grassland: temperate, forest: temperate",NA,NA,NA,yes,no,no,0300,hydrology,"temperature, precipitation, snow, streamflow/stream forecasting, water quantity, agriculture, economics"
AM,"Climate change impacts on water management and irrigated agriculture in the Yakima River Basin, Washington, USA.",31,impacts,25000 - 40000 km2,"46.268226,-119.314407","grassland: temperate, forest: temperate",NA,NA,NA,yes,no,no,0300,hydrology,"temperature, precipitation, snow, streamflow/stream forecasting, water quantity, agriculture, economics"
MF,"Climate change impacts on water management and irrigated agriculture in the Yakima River Basin, Washington, USA.",31,impacts,25000 - 40000 km2,"46.268226,-119.314407","grassland: temperate, forest: temperate",NA,NA,NA,yes,no,no,0300,hydrology,"temperature, precipitation, snow, streamflow/stream forecasting, water quantity, agriculture, economics"
PE,"Climate change impacts on water management and irrigated agriculture in the Yakima River Basin, Washington, USA",31,impacts,25000 - 40000 km2,"46.268226,-119.314407","grassland: temperate, forest: temperate",NA,NA,NA,yes,no,no,0300,hydrology,"temperature, precipitation, snow, streamflow/stream forecasting, water quantity, agriculture, economics"
AM,Potential economic benefits of adapting agricultural production systems to future climate change.,33,adaptation,1500 - 25000 km2,"48.2934273,-115.0708344",grassland: temperate,NA,NA,NA,yes,no,no,0102,"economics, policy or management","temperature, precipitation, agriculture, management"
SH,Potential economic benefits of adapting agricultural production systems to future climate change.,33,adaptation,1500 - 25000 km2,"48.2934273,-115.0708344",grassland: temperate,NA,NA,NA,yes,no,no,0102,"economics, policy or management","temperature, precipitation, agriculture, management"
AM,Geographic variation in growth response of Douglas-fir to interannual climate variability and projected climate change.,35,impacts,western us,Western United States,forest: temperate,NA,NA,NA,yes,no,yes,"0101, 0102, 0103, 0200, 0300, 0401, 0402, 0501, 0502, 0601, 0602, 0603, 0701, 0702, 0703, 0800, 0900, 1002",biology,"temperature, precipitation, timber production/silviculture, forest ecology, dendrochronology"
MF,Geographic variation in growth response of Douglas-fir to interannual climate variability and projected climate change.,35,impacts,western us,Columbia River Basin,forest: temperate,NA,NA,NA,yes,no,yes,"0101, 0102, 0103, 0200, 0300, 0401, 0402, 0501, 0502, 0601, 0602, 0603, 0701, 0702, 0703, 0800, 0900, 1002",biology,"temperature, precipitation, timber production/silviculture, forest ecology, dendrochronology"
AM,Climate change effects on stream and river temperatures across the northwest U.S. from 1980-2009 and implications for salmonid fishes.,36,impacts,pacific northwest,Columbia River Basin,freshwater: streams and rivers,NA,NA,NA,no,yes,no,"0101, 0102, 0103, 0200, 0300, 0401, 0402, 0501, 0502, 0601, 0602, 0603, 0701, 0702, 0703, 0800, 0900, 1002",hydrology,"temperature, precipitation, snow, streamflow/stream forecasting, river geomorphology and restoration, groundwater, water quality, water quantity, salmon/anadromous fish, aquatic habitat, non-anadromous fish, aquatic habitat, species range shifts, policy, management"
DH,Climate change effects on stream and river temperatures across the northwest U.S. from 1980-2009 and implications for salmonid fishes.,36,impacts,pacific northwest,"Washington, Oregon, Idaho, Montana",freshwater: streams and rivers,NA,NA,NA,no,yes,no,"0101, 0102, 0103, 0200, 0300, 0401, 0402, 0501, 0502, 0601, 0602, 0603, 0701, 0702, 0703, 0800, 0900, 1002",hydrology,"temperature, precipitation, snow, streamflow/stream forecasting, river geomorphology and restoration, groundwater, water quality, water quantity, salmon/anadromous fish, aquatic habitat, non-anadromous fish, aquatic habitat, species range shifts, policy, management"
AM,Assessing the restoration potential of altered rangeland ecosystems in the Interior Columbia Basin.,39,adaptation,pacific northwest,Columbia River Basin,"grassland: temperate, desert: semi-arid desert",NA,NA,NA,NA,NA,yes,"0101, 0102, 0103, 0200, 0300, 0401, 0402, 0501, 0502, 0601, 0602, 0603, 0701, 0702, 0703, 0800, 0900, 1002","policy or management, ecology","terrestrial wildlife, species range shifts, wildfire, forest ecology, management"
MF,Assessing the restoration potential of altered rangeland ecosystems in the Interior Columbia Basin.,39,adaptation,pacific northwest,Columbia River Basin,"grassland: temperate, desert: semi-arid desert",NA,NA,NA,NA,NA,yes,"0101, 0102, 0103, 0200, 0300, 0401, 0402, 0501, 0502, 0601, 0602, 0603, 0701, 0702, 0703, 0800, 0900, 1002","policy or management, ecology","terrestrial wildlife, species range shifts, wildfire, forest ecology, management"
AM,Implications of climate change on wind erosion of agricultural lands in the Columbia plateau.,40,impacts,40000 km2 - PNW,"46.959876, -118.611380; 45.482697, -120.742472; 46.811733, -117.896606",grassland: temperate,NA,NA,NA,yes,no,yes,"0200, 0300, 0601, 0701",meteorology and climatology,"temperature, precipitation, agriculture, soils, geomorphology, climate variability, management"
CMC,Implications of climate change on wind erosion of agricultural land in the Columbia Plateau,40,impacts,40000 km2 - PNW,"46.959876, -118.611380; 45.482697, -120.742472; 46.811733, -117.896606",grassland: temperate,mountainous contributions questionable,NA,NA,yes,no,yes,"0200, 0300, 0601, 0701",meteorology and climatology,"temperature, precipitation, agriculture, soils, geomorphology, climate variability, management"
AM,Changing growth response to wildfire in old-growth ponderosa pine trees in montane forests of north central Idaho.,42,impacts,1500 - 25000 km2,"46.1224168,-115.495692",forest: temperate,NA,NA,NA,no,yes,yes,0602,ecology,"temperature, precipitation, wildfire, dendrochronology, management, carbon cycle, forest ecology"
MF,Changing growth response to wildfire in old-growth ponderosa pine trees in montane forests of north central Idaho.,42,impacts,1500 - 25000 km2,NA,forest: temperate,NA,NA,NA,no,yes,yes,0602,ecology,"temperature, precipitation, wildfire, dendrochronology, management, carbon cycle, forest ecology"
DH,Recruitment limitation of long-lived conifers: implications for climate change responses,43,impacts,100 - 1500 km2,"46.888366,-122.1713215; 46.7502934,-121.8477974","alpine/tundra, forest: temperate",Mt. Rainier is a tough one to just blindly include. I remain suspicious.,NA,NA,no,no,yes,"0200, 0800","ecology, biology","temperature, precipitation, snow, species range shifts, forest ecology, timber production/silviculture"
MF,Recruitment limitation of long-lived conifers: implications for climate change responses,43,impacts,100 - 1500 km2,"46.888366,-122.1713215; 46.7502934,-121.8477974","alpine/tundra, forest: temperate",NA,NA,NA,no,no,yes,"0200, 0800","ecology, biology","temperature, precipitation, snow, species range shifts, forest ecology, timber production/silviculture"
AM,"Simulating effects of land use policies on extent of the wildland urban interface and wildfire risk in Flathead County, Montana.",45,impacts,1500 - 25000 km2,"48.2934279,-115.0707664","grassland: temperate, forest: temperate",NA,NA,NA,yes,no,yes,0102,policy or management,"species range shifts, wildfire, timber production/silviculture, forest ecology, agriculture, community resilience, attitudes and beliefs, policy, management"
DH,"Simulating effects of land use policies on extent of the wildland urban interface and wildfire risk in Flathead County, Montana.",45,impacts,1500 - 25000 km2,"48.2934279,-115.0707664","grassland: temperate, forest: temperate",Toughy to assign a main discipline. Policy?,NA,NA,yes,no,yes,0102,policy or management,"species range shifts, wildfire, timber production/silviculture, forest ecology, agriculture, community resilience, attitudes and beliefs, policy, management"
AM,Spatial models reveal the microclimatic buffering capacity of old-growth forests,46,impacts,1 - 100 km2,"44.2331797,-122.1849309",forest: temperate,NA,NA,NA,no,no,yes,0900,forestry,"temperature, precipitation, terrestrial wildlife, land use/land cover, forest ecology, forest ecology, management, microclimates"
