alternative.id,container.title,created,DOI,funder,publisher,reference.count,score,source,subject,title,subtitle,type,URL,author,issue,volume
,Journal of Geophysical Research,2009-07-21,10.1029/2008jc004965,NULL,Wiley-Blackwell,38,28.347237,Crossref,"Earth and Planetary Sciences (miscellaneous),Space and Planetary Science,Atmospheric Science,Geophysics",Influence of the Columbia River plume on cross-shelf transport of zooplankton,NA,journal-article,http://dx.doi.org/10.1029/2008jc004965,Jay O. Peterson; William T. Peterson,NA,114
10.1080/08941928909380684,Society & Natural Resources,2008-11-21,10.1080/08941928909380684,NULL,Informa UK Limited,25,28.347237,Crossref,"Development,Environmental Science (miscellaneous),Sociology and Political Science",Regulatory responses to commons problems: The Columbia River salmon fishery,NA,journal-article,http://dx.doi.org/10.1080/08941928909380684,David Goetze; David Peterson,1,2
,Choice Reviews Online,2013-01-24,10.5860/choice.32-2215,NULL,American Library Association,0,28.347237,Crossref,,"Columbia River basketry: gift of the ancestors, gift of the earth",NA,journal-article,http://dx.doi.org/10.5860/choice.32-2215,NaN,04,32
,Choice Reviews Online,2013-01-24,10.5860/choice.34-2145,NULL,American Library Association,0,28.347237,Crossref,,A river lost: the life and death of the Columbia,NA,journal-article,http://dx.doi.org/10.5860/choice.34-2145,NaN,04,34
,Choice Reviews Online,2013-01-24,10.5860/choice.33-4917,NULL,American Library Association,0,28.347237,Crossref,,"Rufus Woods, the Columbia River, & the building of modern Washington",NA,journal-article,http://dx.doi.org/10.5860/choice.33-4917,NaN,09,33
10.3828/tpr.22.2.n17u531h5n4v1v37,Town Planning Review,2015-06-12,10.3828/tpr.22.2.n17u531h5n4v1v37,NULL,Liverpool University Press,0,28.347237,Crossref,"Geography, Planning and Development,Urban Studies",Regional Planning in the Columbia River Area,NA,journal-article,http://dx.doi.org/10.3828/tpr.22.2.n17u531h5n4v1v37,Benjamin H. Kizer,2,22
scientificamerican01151898-33,Scientific American,2015-06-11,10.1038/scientificamerican01151898-33,NULL,Springer Nature,0,28.347237,Crossref,General,"The Great Training Jetty at the Mouth of the Columbia River, Oregon",NA,journal-article,http://dx.doi.org/10.1038/scientificamerican01151898-33,NaN,3,78
,Choice Reviews Online,2013-01-24,10.5860/choice.48-4667,NULL,American Library Association,0,28.347237,Crossref,,Shadow tribe: the making of Columbia River Indian identity,NA,journal-article,http://dx.doi.org/10.5860/choice.48-4667,NaN,08,48
scientificamerican07291893-14658asupp,Scientific American,2015-06-10,10.1038/scientificamerican07291893-14658asupp,NULL,Springer Nature,0,28.347237,Crossref,General,Ancient Glacial Moraine and Drift at the Mouth of the Columbia River,NA,journal-article,http://dx.doi.org/10.1038/scientificamerican07291893-14658asupp,W. Hampton Smith,917supp,36
scientificamerican09241904-24024supp,Scientific American,2015-06-11,10.1038/scientificamerican09241904-24024supp,NULL,Springer Nature,0,28.347237,Crossref,General,"Shell Heaps of the Lower Fraser River, British Columbia",NA,journal-article,http://dx.doi.org/10.1038/scientificamerican09241904-24024supp,Harlan I. Smith,1499supp,58
,Southeastern Geographer,2016-03-20,10.1353/sgo.2016.0010,NULL,Johns Hopkins University Press,0,28.347237,Crossref,"Geography, Planning and Development,Earth and Planetary Sciences(all)",Columbia Canal Breached by Congaree River Flooding in South Carolina,NA,journal-article,http://dx.doi.org/10.1353/sgo.2016.0010,L. Allan James,1,56
,PCI Journal,2014-08-21,10.15554/pcij.04011965.18.35,NULL,Precast/Prestressed Concrete Institute,0,28.347237,Crossref,"Materials Science(all),Mechanics of Materials,Civil and Structural Engineering,Building and Construction","Design of Columbia River Bridge at Kinnaird, B. C., Canada",NA,journal-article,http://dx.doi.org/10.15554/pcij.04011965.18.35,G. Woodburn; L. G. Maranda,2,10
