id,authors_long,author
302,"abatzoglou, j. t.",j. abatzoglou
302,"hegewisch, k. c.",k. hegewisch
302,"lute, a. c.",a. lute
307,"chen, huapeng",h. chen
307,"jackson, peter l.",p. jackson
307,"ott, peter k.",p. ott
307,"spittlehouse, david l.",d. spittlehouse
308,"geiser, linda h.",l. geiser
308,"mcmurray, jill a.",j. mcmurray
308,"roberts, david w.",d. roberts
309,"ballantyne, ashley p.",a. ballantyne
309,"dobrowski, solomon z.",s. dobrowski
309,"klene, anna e.",a. klene
309,"oyler, jared w.",j. oyler
309,"running, steven w.",s. running
310,"healey, sean",s. healey
310,"patterson, paul",p. patterson
310,"peduzzi, alicia",a. peduzzi
310,"raymond, crystal l.",c. raymond
311,"acker, steven a.",s. acker
311,"bivin, mignonne",m. bivin
311,"boetsch, john r.",j. boetsch
311,"cole, carla",c. cole
311,"philippi, tom",t. philippi
311,"whiteaker, lou",l. whiteaker
313,"barbier, nicolas",n. barbier
322,"famiglietti, j. s.",j. famiglietti
322,"leibowitz, s. g.",s. leibowitz
322,"patil, s. d.",s. patil
322,"reager, j. t.",j. reager
322,"sproles, e. a.",e. sproles
322,"wigington, p. j., jr.",p. wigington
323,"blades, jarod j.",j. blades
323,"force, jo ellen",j. force
323,"hall, troy e.",t. hall
323,"kemp, kerry b.",k. kemp
323,"klos, p. zion",p. klos
323,"morgan, penelope",p. morgan
323,"tinkham, wade t.",w. tinkham
324,"higuchi, kaz",k. higuchi
324,"joncas, fiona",f. joncas
327,"carim, kellie",k. carim
327,"eby, lisa",l. eby
327,"pierce, ron",r. pierce
332,"richardson, bryce a.",b. richardson
332,"still, shannon m.",s. still
340,"daub, markus",m. daub
340,"jauss, verena",v. jauss
340,"johnson, mark",m. johnson
340,"krull, evelyn",e. krull
340,"lehmann, johannes",j. lehmann
341,"du, enhao",e. du
341,"gravelle, john a.",j. gravelle
341,"hubbart, jason a.",j. hubbart
341,"link, timothy e.",t. link
346,"holden, zachary",z. holden
346,"lopez-burgos, viviana",v. lopez-burgos
346,"luce, charles h.",c. luce
347,"adams, richard m.",r. adams
347,"lowe, scott e.",s. lowe
347,"xu, wenchao",w. xu
352,"carstensen, laurence w.",l. carstensen
352,"malanson, george p.",g. malanson
352,"prisley, stephen p.",s. prisley
352,"resler, lynn m.",l. resler
352,"smith-mckenna, emily k.",e. smith-mckenna
352,"tomback, diana f.",d. tomback
357,"grant, gordon e.",g. grant
357,"kennard, paul",p. kennard
357,"legg, nicholas t.",n. legg
357,"meigs, andrew j.",a. meigs
375,"dymond, caren c.",c. dymond
375,"hopkins, katherine",k. hopkins
375,"mccallion, katharine",k. mccallion
375,"raymer, brian",b. raymer
375,"sandland, james",j. sandland
375,"spittlehouse, david l.",d. spittlehouse
375,"tedder, sinclair",s. tedder
381,"horan, dona l.",d. horan
381,"peterson, douglas p.",d. peterson
381,"rieman, bruce e.",b. rieman
381,"young, michael k.",m. young
387,"bartlein, patrick",p. bartlein
387,"praskievicz, sarah",s. praskievicz
391,"fredeen, arthur l.",a. fredeen
391,"klopp, wyatt s.",w. klopp
392,"bull, gary",g. bull
392,"gelinas, nancy",n. gelinas
392,"nilausen, chelsea",c. nilausen
395,"guralnick, robert p.",r. guralnick
395,"jetz, walter",w. jetz
395,"mcgill, brian",b. mcgill
395,"parmentier, benoit",b. parmentier
395,"regetz, james",j. regetz
395,"robinson, natalie",n. robinson
395,"schildhauer, mark",m. schildhauer
395,"tuanmu, mao-ning",m. tuanmu
395,"wilson, adam m.",a. wilson
396,"dozier, andre q.",a. dozier
396,"furey, peter r.",p. furey
396,"kampf, stephanie k.",s. kampf
396,"lanini, jordan s.",j. lanini
401,"highland, steven a.",s. highland
401,"jones, julia a.",j. jones
403,"dearing, m. denise",m. dearing
403,"varner, johanna",j. varner
406,"bright, benjamin c.",b. bright
406,"hudak, andrew t.",a. hudak
406,"kennedy, robert e.",r. kennedy
406,"meddens, arjan j. h.",a. meddens
410,"bowyer, r. terry",r. bowyer
410,"kie, john g.",j. kie
410,"long, ryan a.",r. long
410,"mathewson, paul",p. mathewson
410,"monteith, kevin l.",k. monteith
410,"porter, warren p.",w. porter
419,"bohlmann, joerg",j. bohlmann
419,"boone, celia k.",c. boone
419,"coltman, david w.",d. coltman
419,"cooke, janice e. k.",j. cooke
419,"huber, dezene p. w.",d. huber
419,"janes, jasmine k.",j. janes
419,"keeling, christopher i.",c. keeling
419,"li, yisu",y. li
419,"murray, brent w.",b. murray
419,"sperling, felix a. h.",f. sperling
419,"yuen, macaire m. s.",m. yuen
423,"cansler, c. alina",c. cansler
423,"mckenzie, donald",d. mckenzie
425,"nielsen, scott e.",s. nielsen
425,"roberts, david r.",d. roberts
425,"stenhouse, gordon b.",g. stenhouse
431,"eby, lisa a.",l. eby
431,"helmy, olga",o. helmy
431,"holsinger, lisa m.",l. holsinger
431,"young, michael k.",m. young
435,"hansen, e. matthew",e. hansen
446,"chipman, kathryn g.",k. chipman
446,"resler, lynn m.",l. resler
446,"smith-mckenna, emily k.",e. smith-mckenna
446,"smith, cyndi m.",c. smith
446,"tomback, diana f.",d. tomback
447,"eby, lisa",l. eby
447,"holsinger, lisa",l. holsinger
447,"isaak, daniel j.",d. isaak
447,"keane, robert e.",r. keane
447,"young, michael k.",m. young
451,"bell, david m.",d. bell
451,"bradford, john b.",j. bradford
451,"lauenroth, william k.",w. lauenroth
455,"roe, gerard",g. roe
455,"siler, nicholas",n. siler
459,"abatzoglou, j. t.",j. abatzoglou
459,"lute, a. c.",a. lute
461,"isaak, dan",d. isaak
461,"kramer, marc",m. kramer
461,"luce, charles",c. luce
461,"mcconnell, callie",c. mcconnell
461,"staab, brian",b. staab
461,"wenger, seth",s. wenger
466,"chen, huapeng",h. chen
476,"coopersmith, e. j.",e. coopersmith
476,"minsker, b. s.",b. minsker
476,"sivapalan, m.",m. sivapalan
484,"doesken, nolan",n. doesken
484,"elder, kelly",k. elder
484,"hoover, jamie d.",j. hoover
484,"laituri, melinda",m. laituri
484,"liston, glen e.",g. liston
486,"alfaro, rene i.",r. alfaro
486,"axelson, jodi",j. axelson
486,"berg, jenny",j. berg
489,"dearing, m. denise",m. dearing
489,"varner, johanna",j. varner
491,"bentz, barbara j.",b. bentz
491,"powell, james a.",j. powell
495,"garton, edward o.",e. garton
495,"meyer, kevin a.",k. meyer
495,"schill, daniel j.",d. schill
496,"enache, mihaela",m. enache
496,"foreman, james r.",j. foreman
496,"moran, patrick w.",p. moran
496,"sheibley, richard w.",r. sheibley
496,"swarzenski, peter w.",p. swarzenski
501,"bell, david m.",d. bell
501,"bradford, john b.",j. bradford
501,"lauenroth, william k.",w. lauenroth
505,"buotte, polly c.",p. buotte
505,"creeden, eric p.",e. creeden
505,"hicke, jeffrey a.",j. hicke
507,"clason, alana j.",a. clason
507,"haeussler, sybille",s. haeussler
507,"macdonald, s. ellen",s. macdonald
508,"dahlke, helen e.",h. dahlke
508,"fleming, sean w.",s. fleming
513,"barnhart, b. l.",b. barnhart
513,"ficklin, d. l.",d. ficklin
513,"knouft, j. h.",j. knouft
513,"letsinger, s. l.",s. letsinger
513,"maurer, e. p.",e. maurer
513,"stewart, i. t.",i. stewart
513,"whittaker, g. w.",g. whittaker
515,"comeleo, r. l.",r. comeleo
515,"ebersole, j. l.",j. ebersole
